subject,mean,std,variance,max,min,range,energy
S9,-7.210415274778091,41.101763915542726,1689.3549969690102,40.49640587698434,-239.2925725278038,279.78897840478817,557230.4273292043
S9,0.005403295547289294,0.0062989692202730764,3.96770132379476e-05,0.02987122532008393,-0.0033691036473357814,0.03324032896741971,0.02203923712297725
S9,0.004141994785124321,3.5650698460608484e-06,1.270972300729232e-11,0.004147177871202224,0.004132461675025279,1.4716196176945036e-05,0.005489962723110428
S9,0.0041419477378146575,3.321525021662105e-06,1.1032528469527447e-11,0.004147779421718251,0.0041261144172378824,2.1665004480368906e-05,0.005489837470501257
S9,0.004141882393304884,1.1904520464734553e-05,1.4171760749528377e-10,0.00419656554777424,0.004118431888935737,7.813365883850305e-05,0.005489706072824476
S9,0.004143200232394441,2.6074374418984418e-05,6.798730013413889e-10,0.004220461309353508,0.004086446024016294,0.00013401528533721428,0.0054933721723887
S9,0.0041421545747534596,1.0297576566322372e-05,1.0604008313927163e-10,0.004166965807718043,0.004110655971512397,5.630983620564644e-05,0.00549041617959493
S9,0.004142290927326274,3.2730621162553405e-06,1.0712935616865887e-11,0.0041482321798536744,0.004135390610177936,1.284156967573842e-05,0.0054907471486544575
S9,0.004142025806923784,3.6846608190938423e-06,1.3576725351765303e-11,0.00414863923246135,0.004131327395717794,1.731183674355541e-05,0.005490045235823353
S9,0.00414257728708945,2.788449429754128e-06,7.775450222296122e-12,0.004149947867205675,0.004136068229807295,1.3879637398379364e-05,0.005491505393587076
S9,0.004142156433330826,3.449813521080625e-06,1.19012133302307e-11,0.004157344633058373,0.004132332268537912,2.5012364520461162e-05,0.005490390982207129
S9,0.004142077364537098,1.1353598520484396e-05,1.2890419936434547e-10,0.004172169136586681,0.004116633566590953,5.5535569995728354e-05,0.005490218815363183
S9,0.0041425751545543215,8.664531549467972e-06,7.507410697172586e-11,0.0041725231844830825,0.004126713515156406,4.58096693266765e-05,0.005491521275276074
S9,0.004141442934319259,1.8288862136694685e-05,3.3448247825502445e-10,0.004188883206637178,0.004059005247869221,0.00012987795876795698,0.005488602899424373
S9,0.004143152657689158,2.3207943958416e-05,5.386086627769778e-10,0.0041907450404992585,0.004064380059317057,0.0001263649811822018,0.0054932008171454435
S9,0.004142370277435329,3.3923200004317727e-06,1.1507834985329423e-11,0.004153414574476257,0.004133234733938614,2.017984053764247e-05,0.005490957767428684
S9,0.004142283472047752,1.9174193247661166e-06,3.67649686698655e-12,0.0041450149187110714,0.004138132312146274,6.882606564797243e-06,0.005490725132574989
S9,0.004142304989534058,2.5738755669027352e-06,6.624835433898877e-12,0.004145834170666595,0.0041363319602004305,9.502210466164236e-06,0.0054907831203693394
S9,0.004142310948005183,3.4857901181966994e-06,1.215073274811776e-11,0.00414652365516021,0.004135263791404473,1.1259863755736649e-05,0.005490800685022832
S9,0.004142260158150149,2.986801014429372e-06,8.920980299796325e-12,0.0041472864994762226,0.004135960923989139,1.1325575487083732e-05,0.00549066500440909
S9,0.004142371388463962,7.419662756244265e-06,5.5051395416398246e-11,0.004169158493477284,0.004128863968115443,4.029452536184145e-05,0.005490974646835286
S9,0.0041420011473636865,2.3330610952897075e-06,5.4431740743544094e-12,0.0041455493327777855,0.00413577666176729,9.772671010495337e-06,0.005489977263339574
S9,0.0041424302385190005,2.744727956885006e-06,7.53353155730614e-12,0.0041524567522946065,0.0041374769016931925,1.4979850601413991e-05,0.005491115460649004
S9,0.004142346235299793,5.419629138373483e-06,2.9372379997506905e-11,0.00416327249991515,0.004130543816601523,3.272868331362713e-05,0.005490899745754359
S9,0.004142291694457222,2.5681676249277545e-06,6.595484949727064e-12,0.004146658990164437,0.004134758140583247,1.1900849581189706e-05,0.005490747864785354
S9,0.00414237258044945,2.3990192487861264e-06,5.755293356046351e-12,0.004148562768765841,0.004135374499837477,1.3188268928363868e-05,0.005490962032176893
S9,0.004142320586931247,1.7045951873523439e-06,2.9056447527447723e-12,0.0041447131199861716,0.0041380785180326445,6.634601953527108e-06,0.0054908232801789405
S9,0.004142228596602318,1.3626436755737278e-06,1.856797786581079e-12,0.004144527316779584,0.004139385968503659,5.141348275924766e-06,0.005490579073058494
S9,0.004142397271348805,1.5347326463043054e-06,2.355404295632216e-12,0.004144629047676185,0.004138660748112258,5.968299563927776e-06,0.005491026402906343
S9,0.004142188461704922,2.4407661373192296e-06,5.957339337084233e-12,0.004147935206565154,0.004136955124100334,1.0980082464820407e-05,0.0054904739870786316
S9,0.004142411441878984,3.0330685890991686e-06,9.199505066180023e-12,0.004154126946549545,0.0041352168292293065,1.891011732023818e-05,0.005491066161060797
